Index,index,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE AND TIME 
"
10,10,ADANITRANS,Adani Transmission Limited,Shri Gautam S. Adani/Shri Rajesh S. Adani (on behalf of S. B. Adani Family Trust),Promoter Group,56.48,900000,161700000,Pledge Revoke,Equity Shares,621197910,Revokation of Pledge,09-Jun-2020 18:54
11,11,AKG,Akg Exim Limited,Rajeev Goel,Promoters,46.54,2840000,0,Sell,Equity Shares,240920,Off Market,10-Jun-2020 20:08
12,12,AKG,Akg Exim Limited,Mahima Goel,Promoter Group,23.1,2840000,0,Buy,Equity Shares,4369000,Off Market,10-Jun-2020 20:08
13,13,AUBANK,AU Small Finance Bank Limited,SHOORVEER SINGH SHEKHAWAT,Employees/Designated Employees,0.0,2360,1187316,Buy,Equity Shares,4480,ESOP,09-Jun-2020 17:58
14,14,AUBANK,AU Small Finance Bank Limited,Prince Tiwari,Employees/Designated Employees,0.0,6000,3018600,Buy,Equity Shares,11766,ESOP,09-Jun-2020 17:58
15,15,AUBANK,AU Small Finance Bank Limited,DEEPAK GOYAL,Employees/Designated Employees,0.0,2664,1340258,Buy,Equity Shares,10990,ESOP,09-Jun-2020 17:58
16,16,AUBANK,AU Small Finance Bank Limited,Raj Kumar Sharma,Employees/Designated Employees,0.01,19530,9825543,Buy,Equity Shares,52717,ESOP,09-Jun-2020 17:58
17,17,AUBANK,AU Small Finance Bank Limited,Vivek Tripathi,Employees/Designated Employees,0.02,2998,1508294,Pledge,Equity Shares,70708,Pledge Creation,09-Jun-2020 17:58
18,18,AUBANK,AU Small Finance Bank Limited,Raj Kumar Sharma,Employees/Designated Employees,0.02,19530,9825543,Pledge,Equity Shares,52717,Pledge Creation,09-Jun-2020 17:58
19,19,AUBANK,AU Small Finance Bank Limited,Vivek Tripathi,Employees/Designated Employees,0.02,10390,5227209,Buy,Equity Shares,70708,ESOP,09-Jun-2020 17:58
20,20,AXISBANK,Axis Bank Limited,Debarchan Mishra,Other,0.0,20100,6977066,Buy,Equity Shares,62658,ESOP,10-Jun-2020 19:44
21,21,AXISBANK,Axis Bank Limited,Debarchan Mishra,Other,0.0,10000,4340695,Sell,Equity Shares,42558,Market Sale,10-Jun-2020 19:44
22,22,BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.0,50950,127476900,Pledge Revoke,Equity Shares,53950,Revokation of Pledge,09-Jun-2020 21:09
